"AceA" "AceA_fungi" "AceB" "AceB_fungi" "Acetylglucosaminidase" "Alpha_galactosidase_fungi" "AmyA" "Amyx" "Ara" "Axe" "Cda" "Cdh" "Cellobiase" "Chitin_deacetylase_fungi" "Chitinase" "Cutinase" "Endoglucanase" "Endopolygalacturonase_fungi" "Exoglucanase" "Exopolygalacturonase_fungi" "Glucoamylase" "Glx" "Inulinase" "Isopullulanase" "Lactase_fungi" "Ligninase" "Limeh" "Lmo" "Mannanase" "Mnp" "NplT" "Pec_Cdeg" "Pectinase (pectate_lyase)" "Pel_Cdeg" "Phenol_oxidase" "Phospholipase_A2_fungi" "Phospholipase_C_fungi" "Phospholipase_D_fungi" "Pme" "Pme_Cdeg" "Pula" "RgaE" "Rgh" "Rgl" "Tannase_Cdeg" "Vana" "Vdh" "Xylanase"
"18soil12N" 156.345751316083 23.9233031246257 317.928017060094 15.5470510622071 193.757200053194 25.4752073032707 1723.78494408864 0 224.176514000553 23.9140878748588 151.913703512941 39.7609834626541 187.049853429045 14.8707409649427 553.785930927764 151.88547970853 150.426356547999 6.74662113528449 64.1894941567347 23.8944283613763 89.0364390671914 63.3217432706606 0 15.78661726156 5.95745891142577 22.0371270763587 77.56433020788 13.5113802290563 87.732213936093 24.1779452665127 61.741998283154 37.1501885251735 52.9922186503677 6.51982938668177 155.94819409228 42.5158858928245 34.2892706712428 15.2629128415529 90.8108094178078 8.6417887494561 103.400170958035 72.5020223820426 12.3231181524802 70.1295478292521 32.0438630059784 134.529151702026 42.6369793758678 212.402879739931
"18soil14N" 197.030740874436 21.1147333391529 350.821941583144 18.5358037006242 194.428318782608 27.8142460556738 1844.46431851125 0 279.008659155068 26.1751546258951 154.419745214218 41.354360514883 187.637535436017 13.0402617365303 599.45159027102 148.650005862808 165.537665616319 15.8019535892504 55.6082528219185 31.6999172527393 82.0880596557443 56.2688057736616 0 13.8993007180717 20.1963298220186 24.4105632404199 88.8496765817053 12.6842371536378 102.592508867171 26.358064893076 59.7157902958881 47.3869064476496 50.8147975273899 5.50002319921956 176.590186902699 42.3861265040845 40.1155942337088 22.9402930502137 88.6531223851185 12.9143423407533 111.32860762648 83.7275643876216 15.4008618369801 73.4054979039091 28.7264749471443 134.700154281882 52.685376383452 236.120247824914
"18soil17N" 204.932722620373 20.0640043976207 385.662983260217 22.0517796257007 239.386020036579 26.0552319437182 1867.06138365855 0 288.418086586658 24.1065897057489 163.562993322065 37.8032016554805 213.278200782904 16.8844523420031 705.845940927027 162.14419715419 162.161719481471 14.6741777755899 66.5752050566393 34.5087193414602 91.5159706555328 56.9507393011639 0 12.971244519073 19.4917948160037 27.7972844384178 92.9538835442386 11.9930623117643 101.559613815883 29.3432673919395 65.620928092859 54.0890030895734 52.9601807493065 5.43311824097806 191.587521239016 39.6433438691099 37.3310261780926 30.116966818303 89.5759701767953 11.9262070273779 110.076889224251 90.0419635275449 14.6945681762739 88.9948227622112 31.4085256333575 149.252166421043 55.0036456594682 247.941733886454
"18soil9N" 163.461890975174 22.4221689984863 347.91723494416 15.4308667182871 176.609658888054 24.9066708213407 1752.12431880122 0 240.897106927918 22.553969878274 146.261690164692 38.9781397906882 185.532182696766 19.8758484748685 552.365414099336 164.329660800631 172.562962379448 6.64268909686826 55.7403781302107 22.583974901144 80.510007301453 60.6643201645164 0 15.3816678297761 5.65635915451218 27.0894131120261 74.7147663846278 13.197124912207 84.1570239705883 23.4720760367657 59.8003739343428 40.6468874708584 55.8005625040883 6.26797764496975 167.671824492894 41.5402304524747 38.267961403864 14.3167244207722 87.0646017771725 8.31081291507576 94.4160021588285 86.2024400665006 11.7552634880042 64.4718878756833 30.6909051730571 141.095545457145 35.6899167734346 222.377243758685
"11N2016" 172.287928172294 27.1781374877376 328.730734450815 20.0534878225639 242.049260425052 27.0212730758071 1751.21993552599 0 235.416750736106 26.9980193042762 155.313534145548 39.2451143033291 204.83286547775 17.5864003156774 638.580486851767 143.295716015904 184.024833734417 21.9590175597707 59.4464483123141 27.2011693360285 83.4026442652768 75.0857898363939 0 13.7587270225586 12.3258280230731 30.2874192401103 82.2563265269969 6.4924273869421 107.086370288067 39.4173531712449 64.3250538243237 48.1672501917501 48.3035099783911 4.995418660805 178.512495716482 42.0939177620489 45.2559661884307 19.3047249607323 97.0099543156387 17.8542928475543 114.624037225565 80.8234850578465 22.8793224874537 56.6442088842806 32.22374833407 154.984223645892 48.5503582630158 254.950962388204
"11N2017" 172.381229571382 20.5040603163396 350.207585442193 22.8750970698985 254.533141575809 32.5716233640376 1792.99707596577 0 232.753863498505 30.4833347466202 160.573667873029 28.6015442821056 245.630989837741 17.3100161173603 626.051510571442 140.0743724055 178.582690307764 10.8334548686624 62.1139240396564 27.132605330887 82.0333415304959 75.3731260596635 0 12.4743417876163 20.5259708249049 30.5296402019131 79.0461246575498 6.65777675122789 110.878518163438 40.5502819277824 69.1374548712232 42.9610318877032 46.614115364208 4.73902444745873 185.37915765529 46.2454782265119 42.3608854421167 18.8441700873852 78.5018871222571 11.8681049177806 110.885529595242 75.0524941053925 25.9921153364499 61.8539671895647 31.4866605864191 143.133356528935 47.7038951551265 236.076651524956
"11N2018" 175.826792120226 21.9192671183626 333.531316629912 18.4108402359489 209.483135617088 28.8281576780768 1829.2982638418 0 208.235336834041 28.6950259053256 146.802755130311 45.3417650068011 200.414897395475 13.1183156944404 601.192583443812 161.293143368964 178.124266532665 12.2318807996253 58.4321686253236 19.9330530236303 92.175499687102 63.1147490194251 0 14.8603499014022 11.1645904078267 32.4412290005457 81.4772031784523 7.27078312584176 80.4538980732869 27.6304987143561 73.7501753170609 40.5597316131739 47.8689796218118 6.74125644068144 182.608787598363 42.5571537103571 36.1659666254768 6.62173511112992 94.6354289107994 13.8698298911532 100.19396191991 82.6436650889651 12.0979054931624 68.460311169631 34.3232968776337 134.215369220648 57.8045753224004 210.148361274721
"13N2016" 202.982630386789 21.1100083626224 330.660542710242 18.6906072191748 210.129413703509 32.5762830604125 1842.63549176304 0 239.278010210403 28.7750401353606 159.720539527258 37.0211651257291 226.674374387209 17.902611936408 633.676391618471 151.653261925071 168.191835252284 15.7458705910898 72.6971850941459 36.3439196224643 86.0638875097431 59.6835869348404 0 12.4968051692864 15.1406454816545 28.7588743235702 84.2795988680958 6.23504062304465 108.147842123798 35.5632736284322 72.4631032214474 44.3728331237907 46.8891302003057 5.46367559661709 194.24730719481 46.9741602737116 43.3028841987395 22.0970708963459 101.540179200065 16.7337393097251 109.699471342708 79.229422383641 21.4307499647437 73.6242512415272 31.2094224694272 138.14627175385 52.2075446377236 264.856014742119
"13N2017" 178.279097924929 20.6561879464661 358.705384496458 19.6552438804385 250.402258428441 32.0517700122703 1812.50556909347 0 220.222301645023 31.6688053473816 161.75244406675 38.4624205181573 230.527200090085 7.49796343436967 634.742621182762 166.449506864289 172.338566292599 21.1273216719136 74.8904268219313 31.5676045066924 75.3402276522502 68.4831575108271 0 12.6324852736076 15.1934950278032 30.094178910414 75.0809008353639 6.29752243288258 105.653316320807 35.6126561789728 63.7650004375653 46.6439047878614 46.3633389610466 5.24331439647389 183.32264860707 47.3889318001332 42.2670655002274 26.7719228491771 89.0633325159601 11.6716400485301 104.44652674251 82.3499568523239 25.6535761913409 65.9346710898816 31.0283203341509 144.890949486661 47.8257905627259 253.191540885632
"13N2018" 177.026419741666 21.7261566061631 355.20188822513 19.7347407093449 212.366761558131 31.7582910523599 1808.27473015595 0 211.535987503067 34.3410321155692 129.561464177149 39.1327949543173 195.828981880539 8.08550202210655 596.563654707185 156.889449617937 164.738154173331 14.0183067696205 63.4738145594466 26.3786546305214 77.2536355060302 54.9013971137401 0 15.0955739115338 5.79922479954149 36.6627494471246 91.4194134483245 7.60624849069238 88.9171240394492 37.1094586856681 79.0355887589228 33.1652287626857 49.6210302505182 0 186.371973041214 44.8615570421402 30.8263824880237 12.5066831180771 79.0167591843434 8.72044547808743 104.840302303535 79.8918094333889 18.8225236715721 71.3251124169503 34.8205430608981 141.08460879497 60.8402334245991 191.588155260544
"24N2016" 203.842554665447 25.8096937136216 381.700750048539 19.539825209917 242.591302932743 32.7454169939364 1965.29453837577 0 217.271616431429 33.751467517515 156.687466256794 42.4184694756254 245.338744354405 20.0986897363924 682.483570091061 156.807804123546 191.996295679315 17.7422806900863 67.2956031722858 21.8188501165153 80.6027840300284 73.2608331322763 0 5.70445218072287 23.9738017075008 24.6518616346752 98.06039698171 6.20289098720419 137.202600902354 33.0142152294902 51.7481803964561 39.6157100961981 50.0222404570991 5.8444053636709 181.377467410618 42.3898650172812 35.2000405226323 22.8915884155141 100.110799007365 12.115824503901 118.734163497665 91.3061390142549 21.7821860520317 91.3317070345833 27.7370772197444 162.208349392594 57.2858279477172 268.063466734696
"24N2017" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28.393073125404 0 0 0
"24N2018" 195.845873264891 20.5318272468787 386.868111610682 21.3588367877293 242.307541876182 36.9233998812772 1940.68030044627 0 223.558228233838 36.3282291944167 167.451801819722 39.3243700456269 242.698731797995 19.1528064953811 671.259814102851 157.733301745579 173.05838498006 4.56954684453857 80.8600434284056 28.6256629079057 82.3958867152007 60.984652146742 0 11.9136985841034 19.8299349733533 28.8644410373446 92.3341667091875 5.96336545256278 116.3100626742 24.1981377349265 70.515418887312 46.4052323383013 54.4109413680987 6.31223981597871 187.109891851897 37.8854146092887 38.183030510535 27.1392678777695 91.002241378888 22.8876255237287 118.048596285002 85.8932617916377 18.9789717408574 85.4524979315758 25.7431961634171 151.883144505749 55.0073741582472 229.759106252545
"8N2016" 188.11098471911 25.1026903223837 347.646453686943 18.3705645604955 251.19654385182 30.9337829630289 1793.2751035647 0 232.751576516184 26.2265609581904 155.935605724627 37.9207459856123 210.293439537837 13.0368272043814 658.387674043145 149.811944838065 176.312332506297 15.4481185935112 72.7636428944171 34.4662369209299 80.4623538188048 63.9826174440467 0 13.1284147014346 15.1233468709237 29.6074511517075 89.6302374187866 6.64281776557858 103.971755393891 31.0140275262745 75.2944041128848 47.579790974057 52.3353522012006 6.39960560729656 174.665880835718 41.0408637763588 38.9506833566439 17.1710393040068 99.2763932039194 11.8138743283453 108.229720924507 81.0225474498727 15.3896442497484 79.1380797544787 31.6289087385259 145.123552507764 50.7533067783311 248.49346586774
"8N2017" 184.023033728019 25.1959020746273 335.2152133853 18.2865387124515 230.343295658465 37.7079411005399 1829.86232532144 0 228.768835250403 30.7243069204695 132.932692933066 34.0359102782378 224.20852479017 18.3921952980637 658.994406633008 140.953951694408 187.891906097548 15.863947002956 72.5820671839668 28.1582186866275 61.2319529932891 80.1706542893378 0 14.8287445048153 15.3665476935854 30.0951034991926 80.4609064744019 6.71620221283819 114.683701492627 31.6076484464821 62.0996345685218 39.8859434119436 52.8820358332127 5.48226600728466 193.783176252031 46.1944973429455 32.9616587140249 12.8723286728987 91.4112857407357 21.144624734996 95.6630342253906 80.0725664782433 21.1715403241179 70.2526109280772 31.0784199529195 140.086291631794 51.6648488853836 256.842639135337
