"","OTU.ID","hit","size","GC"
"387","Zotu10352",1,3.58823,51.6
"388","Zotu10353",2,7.47921,72.6409
"389","Zotu10354",3,5.93653,71.4156882892868
"390","Zotu10355",3,6.524116,70.850927455827
"391","Zotu10356",6,5.65778,48.7174
"392","Zotu10357",1,9.00774,57.8
"393","Zotu10358",1,5.24961,73.6314
"394","Zotu10359",8,7.24667,48.8
"395","Zotu1036",1,2.41765,65.3
"396","Zotu10360",3,3.10778,54.7
"397","Zotu10361",2,3.26991,56.4
"398","Zotu10362",3,8.3270575,68.9462238611899
"399","Zotu10363",2,8.43996,55.3
"400","Zotu10364",5,12.3201,69.4
"401","Zotu10365",2,4.91125,68.3
"402","Zotu10366",5,12.3201,69.4
"403","Zotu10367",2,9.44631,69.5
"404","Zotu10368",1,7.48031,67.2
"405","Zotu10369",1,4.47921,60.5
"406","Zotu1037",5,11.3651625,71.6511551779396
"407","Zotu10370",1,3.02072,69.5
"408","Zotu10371",2,6.41208,61
"409","Zotu10372",3,7.6519,66.2465
"410","Zotu10373",3,2.09448,38.9062
"411","Zotu10374",3,11.3881,68.7
"412","Zotu10375",2,7.76781,55.3
"413","Zotu10376",1,0.891118428571429,48.8091244245394
"414","Zotu10377",7,2.61677,48.0277678781475
"415","Zotu10378",3,11.3881,68.7
"416","Zotu10379",4,3.19723,52
"417","Zotu1038",1,2.83387,48.3
"418","Zotu10380",1,5.65037,58.4
"419","Zotu10381",2,9.53209,63.0023
"420","Zotu10382",7.16666666666667,7.14948666666667,68.4659634711536
"421","Zotu10383",2,2.927605,58.5002119479916
"422","Zotu10385",2,2.83456,56
"423","Zotu10386",2,5.05753,45.8
"424","Zotu10387",1,4.03761,65.487
"425","Zotu10388",1,2.46186,55.4
"426","Zotu10389",1,3.42173,70.7
"427","Zotu1039",1,3.45829,68.1
"428","Zotu10390",1,6.79455,60.2
"429","Zotu10391",8,7.2256125,50.6291263502921
"430","Zotu10392",2,5.23176,60.8
"431","Zotu10393",4,7.53529,72.7964
"432","Zotu10394",4,3.03037,42.4363
"433","Zotu10395",1,4.49088,57.3
"434","Zotu10396",1,7.48031,67.2
"435","Zotu10397",14,5.02883,38.5
"436","Zotu10398",10,4.80306,28.7388
"437","Zotu10399",2,9.44631,69.5
"438","Zotu1040",1,2.41765,65.3
"439","Zotu10400",3,4.87534,72.9
"440","Zotu10401",1,5.22419,70.2
"441","Zotu10402",4,5.99153,68.7856
"442","Zotu10403",1,4.500235,57.703640143237
"443","Zotu10404",2,2.67845,68
"444","Zotu10405",1,5.65037,58.4
"445","Zotu10407",1,6.44369,55
"446","Zotu10408",6.91954022988506,4.91272459770115,49.4672820644098
"447","Zotu10409",1,2.46186,55.4
"448","Zotu1041",2.5,5.331375,60.9927406580854
"449","Zotu10410",2,8.24139,50.9
"450","Zotu10411",3,11.3881,68.7
"451","Zotu10412",1,2.05374,42.7364
"452","Zotu10413",1,3.04595,38.2
"453","Zotu10414",2,4.57726,69.3
"454","Zotu10415",1,6.46898,70.5
"455","Zotu10416",2,9.44631,69.5
"456","Zotu10417",2,7.95775,59.9
"457","Zotu10418",1,3.11887,64.3
"458","Zotu10419",1,0.915884,47.7
"459","Zotu1042",1,6.44369,55
"460","Zotu10420",2,3.10158,53.5397
"461","Zotu10421",2,2.86381,66.9278119882255
"462","Zotu10422",1,3.666555,60.0199324706707
"463","Zotu10423",2,9.44631,69.5
"464","Zotu10424",2,5.17909,65.1
"465","Zotu10425",5,12.3201,69.4
"466","Zotu10426",1,6.46898,70.5
"467","Zotu10427",2,7.18989,63.1
"468","Zotu10428",1,1.11842,27.4
"469","Zotu10429",2,9.53209,63.0023
"470","Zotu1043",8.5,7.431665,65.5501848509049
"471","Zotu10430",4.83333333333333,8.93582833333333,72.3935610969847
"472","Zotu10431",9.5,8.30607,73.4186071042021
