"Feature.ID" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "Confidence"
"63" "Zotu63" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Exophiala" "Exophiala_cancerae" 0.770935947033653
"64" "Zotu64" "Fungi" "Basidiomycota" "Agaricomycetes" "Geastrales" "Sphaerobolaceae" "Sphaerobolus" "Sphaerobolus_ingoldii" 0.999999999998948
"65" "Zotu65" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Trichomeriaceae" "Knufia" "Unassigned" 0.978123518491701
"66" "Zotu66" "Fungi" "Mucoromycota" "Mucoromycetes" "Mucorales" "Rhizopodaceae" "Rhizopus" "Rhizopus_arrhizus" 1
"67" "Zotu67" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Nectriaceae" "Fusarium" "Fusarium_oxysporum" 0.979595560835725
"68" "Zotu68" "Fungi" "Basidiomycota" "Tremellomycetes" "Tremellales" "Tremellaceae" "Tremella" "Unassigned" 0.997923173969372
"69" "Zotu69" "Fungi" "Basidiomycota" "Agaricomycetes" "Trechisporales" "Trechisporales_fam_Incertae_sedis" "Sistotremastrum" "Sistotremastrum_guttuliferum" 0.999996222439806
"70" "Zotu70" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Unassigned" "Unassigned" "Unassigned" 0.867838463786195
"71" "Zotu71" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "Paraphoma" "Unassigned" 0.820151889857583
"72" "Zotu72" "Fungi" "Basidiomycota" "Agaricomycetes" "Cantharellales" "Cantharellales_fam_Incertae_sedis" "Burgoa" "Burgoa_verzuoliana" 0.999999896576872
"73" "Zotu73" "Fungi" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.813461948374607
"74" "Zotu74" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Microdochiaceae" "Microdochium" "Microdochium_majus" 0.997606345938094
"75" "Zotu75" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "Neosetophoma" "Neosetophoma_samararum" 0.996296212541734
"76" "Zotu76" "Fungi" "Basidiomycota" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.996085972556927
"77" "Zotu77" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Nectriaceae" "Fusarium" "Fusarium_lacertarum" 0.861808472397518
"78" "Zotu78" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "Unassigned" "Unassigned" 0.918763722312231
"79" "Zotu79" "Fungi" "Basidiomycota" "Agaricomycetes" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.997491231617546
"80" "Zotu80" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Psathyrellaceae" "Coprinopsis" "Coprinopsis_urticicola" 0.996267747934148
"81" "Zotu81" "Fungi" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.833583643434653
"82" "Zotu82" "Fungi" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 1.00000000000001
"83" "Zotu83" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Cladophialophora" "Unassigned" 0.909719518947587
"84" "Zotu84" "Fungi" "Ascomycota" "Sordariomycetes" "Chaetosphaeriales" "Chaetosphaeriaceae" "Unassigned" "Unassigned" 0.998398263092002
"85" "Zotu85" "Fungi" "Mortierellomycota" "Mortierellomycetes" "Mortierellales" "Mortierellaceae" "Mortierella" "Mortierella_elongata" 0.976580161398129
"86" "Zotu86" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Unassigned" "Unassigned" 0.999745594126085
"87" "Zotu87" "Fungi" "Basidiomycota" "Agaricomycetes" "Geastrales" "Geastraceae" "Geastrum" "Geastrum_minimum" 0.999945868263759
"88" "Zotu88" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Lasiosphaeriaceae" "Schizothecium" "Schizothecium_inaequale" 0.854621058021452
"89" "Zotu89" "Fungi" "Basidiomycota" "Agaricomycetes" "Trechisporales" "Hydnodontaceae" "Trechispora" "Unassigned" 0.985017377647062
"90" "Zotu90" "Fungi" "Ascomycota" "Sordariomycetes" "Microascales" "Halosphaeriaceae" "Unassigned" "Unassigned" 0.716001321022178
"91" "Zotu91" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Arthrobotrys" "Unassigned" 0.719171134634297
"92" "Zotu92" "Fungi" "Basidiomycota" "Agaricomycetes" "Hymenochaetales" "Schizoporaceae" "Schizopora" "Schizopora_ovispora" 0.749381233816086
"93" "Zotu93" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "Neosetophoma" "Neosetophoma_samararum" 0.999020530052049
"94" "Zotu94" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Dactylella" "Dactylella_clavata" 0.999999996272734
"95" "Zotu95" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "Phaeosphaeria" "Unassigned" 0.991276682918284
"96" "Zotu96" "Fungi" "Basidiomycota" "Agaricomycetes" "Cantharellales" "Cantharellales_fam_Incertae_sedis" "Sistotrema" "Sistotrema_coronilla" 0.785527034756451
"97" "Zotu97" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Unassigned" "Unassigned" 0.999999967607237
"98" "Zotu98" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Exophiala" "Exophiala_oligosperma" 0.803507267624468
"99" "Zotu99" "Fungi" "Basidiomycota" "Agaricomycetes" "Trechisporales" "Unassigned" "Unassigned" "Unassigned" 0.994234726086097
"100" "Zotu100" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Sporormiaceae" "Preussia" "Unassigned" 0.811017062361585
"101" "Zotu101" "Fungi" "Basidiomycota" "Agaricomycetes" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.883473215371731
"102" "Zotu102" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Nectriaceae" "Fusarium" "Fusarium_solani" 0.971293904736896
"103" "Zotu103" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Cladophialophora" "Unassigned" 0.981262309368377
"104" "Zotu104" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Morosphaeriaceae" "Acrocalymma" "Unassigned" 0.757934702265846
"105" "Zotu105" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Unassigned" "Unassigned" "Unassigned" 0.975299185441142
"106" "Zotu106" "Fungi" "Mortierellomycota" "Mortierellomycetes" "Mortierellales" "Mortierellaceae" "Mortierella" "Mortierella_alpina" 0.999975585126709
"107" "Zotu107" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Arthrobotrys" "Arthrobotrys_entomopaga" 0.986526633847272
"108" "Zotu108" "Fungi" "Ascomycota" "Sordariomycetes" "Chaetosphaeriales" "Chaetosphaeriaceae" "Chloridium" "Unassigned" 0.999031019324527
"109" "Zotu109" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Bionectriaceae" "Clonostachys" "Clonostachys_rosea" 0.992102863205192
"110" "Zotu110" "Fungi" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.999999999999996
"111" "Zotu111" "Fungi" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 1.00000000000001
"112" "Zotu112" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricaceae" "Leucocoprinus" "Leucocoprinus_birnbaumii" 0.999999023885913
"113" "Zotu113" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Lasiosphaeriaceae" "Podospora" "Podospora_intestinacea" 0.993584339486619
"114" "Zotu114" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Exophiala" "Exophiala_alcalophila" 0.999999391784201
