Feature ID	Taxon	Confidence
Zotu5824	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7278984774333408
Zotu5825	k__Fungi	1.000000000000002
Zotu5826	k__Fungi;p__Ascomycota	0.9538148803716716
Zotu5827	k__Fungi;p__Basidiomycota	0.7634749408403338
Zotu5828	k__Fungi	0.9999999999999896
Zotu5829	k__Fungi	1.0000000000000002
Zotu5830	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__unidentified;g__unidentified;s__unidentified	0.7980431267317414
Zotu5831	k__Fungi	0.9999999999999926
Zotu5832	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.8200897846033262
Zotu5833	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Septoglomus;s__Septoglomus_viscosum	0.9899691063816186
Zotu5834	k__Fungi	1.0000000000000075
Zotu5835	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Gymnoascaceae;g__Gymnoascus;s__Gymnoascus_reessii	0.9999860202385417
Zotu5836	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales	0.9973967968829829
Zotu5837	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma	0.9988778281498849
Zotu5838	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys;s__Arthrobotrys_oligospora	0.9999785931989963
Zotu5839	k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Cunninghamella;s__Cunninghamella_binariae	0.9993621979248493
Zotu5840	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Sporocadaceae;g__Seiridium;s__Seiridium_phylicae	0.8618548422883079
Zotu5841	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7173875920520688
Zotu5842	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae;g__Diaporthe;s__Diaporthe_goulteri	0.7404760828909008
Zotu5843	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Tulasnellaceae;g__Tulasnella;s__Tulasnella_calospora	0.9945397239637953
Zotu5844	k__Fungi	1.000000000000014
Zotu5845	k__Fungi	1.0000000000000098
Zotu5846	k__Fungi;p__Ascomycota	0.8569525110057714
Zotu5847	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9447510973104263
Zotu5848	k__Fungi;p__Chytridiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9174940536643611
Zotu5849	k__Fungi	1.0000000000000009
Zotu5850	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9864500512703479
Zotu5851	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella	0.9999999557926548
Zotu5852	k__Fungi	0.9999999999999919
Zotu5853	k__Fungi	1.0000000000000058
